Organisation Name,Address 1,Address 2,Address 3,Address 4,City,County,Post Code,Country,Website,Constitution,Sector,Type
Lakeland Motor Museum,Holker Hall & Gardens,Cark-in-Cartmel,,,Grange-over-Sands,Cumbria,LA11 7PL,England,,Charity & Trusts,Museum,Independent
The Bygones Collection,Holkham Estate,,,,Wells-Next-the-Sea,Norfolk,NR23 1AB,England,,Charity & Trusts,Museum,Independent
Lindisfarne Castle,Holy Island,,,,Berwick-upon-Tweed,Northumberland,TD15 2SH,England,,Charity & Trusts,Museum,Independent
King's Own Scottish Borderers Regimental Museum,Home Headquarters,The King's Own Scottish Borderers,The Barracks,,Berwick Upon Tweed,,TD15 1DG,,www.kosb.co.uk,Central Government Funded,Museum,Independent
Honeywood,Honeywood Walk,Carshalton,,,Surrey,Greater London,SM5 3NX,UK,,Charity & Trusts,Museum,Independent
Sidmouth Museum,Hope Cottage,Church Street,,,Sidmouth,Devon,EX10 8LY,England,www.devonmuseums.net,Charity & Trusts,Museum,Independent
Lyn & Exmoor Museum,Hope Haven,Castle Hill,,,Lynton,Devon,,England,www.devonmuseums.net/lynton,Charity & Trusts,Museum,Independent
Museum of the Broads,Horning House,Ferry View,,,Horning,Norfolk,NR12 8PT,England,,Charity & Trusts,Museum,Independent
Amberley Museum & Heritage Centre,Houghton Bridge,Amberley,,,Arundel,West Sussex,BN18 9LT,England,www.amberleymuseum.co.uk/,Charity & Trusts,Museum,Independent
Military Intelligence Museum,HQ DINT Building 200,Chicksands,,,Shefford,Bedfordshire,SG17 5PR,England,,Charity & Trusts,Museum,Independent
Withernsea Lighthouse Museum,Hull Road,,,,Withernsea,Yorkshire,HU19 2DY,England,www.withernsealighthouse.com,Charity & Trusts,Museum,Independent
"University of Reading, Ure Museum of Greek Archaeology",Humanities & Social Sciences Building,Faculty of Letters,Whiteknights,,Reading,Berkshire,RG6 6AA,England,http://www.reading.ac.uk/Ure/index.php,University,Museum,Independent
Ifield Watermill,Hyde Drive,,,,Crawley,West Sussex,RH11 8PE,England,,Charity & Trusts,Museum,Independent
The Kohima Divisional Museum,Imphal Barracks,Fulford Road,,,York,Yorkshire,YO10 4AU,England,,Charity & Trusts,Museum,Independent
Flintham Museum,Inholms Road,,,,Flintham,Nottinghamshire,NG23 5LF,England,,Charity & Trusts,Museum,Independent
"National Trust, Ightham Mote",Ivy Hatch,,,,Sevenoaks,Kent,TN15 0NT,England,http://www.nationaltrust.org.uk/main/w-ighthammote,Charity & Trusts,Museum,Independent
Jackfield Tile Museum,Jackfield,,,,Telford,Shropshire,TF8 7LJ,England,www.ironbridge.org.uk,Charity & Trusts,Museum,Independent
Peace Museum,Jacobs Well,Manchester Road,,,Bradford,Yorkshire,BD1 5RW,UK,www.peacemuseum.org.uk,Charity & Trusts,Museum,Independent
Herbert Art Gallery & Museum,Jordan Well,,,,Coventry,West Midlands,CV1 5QP,England,www.theherbert.org,Charity & Trusts,Museum,Independent
Wedgwood Museum,Josiah Wedgwood & Sons Ltd,Barlaston,,,Stoke-on-Trent,Staffordshire,ST12 9ES,England,www.wedgwoodmuseum.org.uk,Charity & Trusts,Museum,Independent
Ken Hawley Collection Trust,Kelham Island Museum,Alma Street,,,Sheffield,,S3 8RY,England,,Charity & Trusts,Museum,Independent
Kelmscott Manor,Kelmscott,,,,Lechlade,Gloucestershire,GL7 3HJ,England,www.kelmscottmanor.co.uk,Charity & Trusts,Museum,Independent
"National Maritime Museum, Cornwall","Kerensa, Dobbin Lane",Trevone,,,Padstow,Cornwall,PL28 8QP,England,www.nmmc.co.uk,Charity & Trusts,Museum,Independent
"National Trust, Trerice",Kestle Mill,,,,Newquay,Cornwall,PL8 4PG,England,http://www.nationaltrust.org.uk/main/w-trerice,Charity & Trusts,Museum,Independent
Cawthorne Victoria Jubilee Museum,Killmarsh,Bark House Lane,Cawthorne,,Barnsley,,,,,Charity & Trusts,Museum,Independent
British Commercial Vehicle Museum,King Street,Leyland,,,Preston,Lancashire,FY6 7DJ,England,,Charity & Trusts,Museum,Independent
Fordingbridge Museum,King's Yard,,,,Fordingbridge,Hampshire,SP6 1AB,England,,Charity & Trusts,Museum,Independent
Kingston University: Dorich House Museum,Kingston Vale,,,,Kingston upon Thames,Surrey,SW15 3RN,England,,University,Museum,Independent
"National Trust, Scotney Castle",Lamberhurst,,,,Tunbridge Wells,Kent,TN3 8JN,England,http://www.nationaltrust.org.uk/main/w-scotneycastlegarden,Charity & Trusts,Museum,Independent
Museum of Garden History,Lambeth Palace Road,,,,London,,SE1 7LB,England,,Charity & Trusts,Museum,Independent
Museum of the Queen's Royal Lancers,"Lancer House, Prince William of Gloucester Barracks",,,,Grantham,Lincolnshire,NG31 7TJ,England,www.qrl.uk.com/m_find.html,Central Government Funded,Museum,Independent
Plotlands Museum,Langdon Visitor Centre,Lower Dunton Road,,,Basildon,Essex,SS16 6EB,England,,Charity & Trusts,Museum,Independent
"Queen's University Belfast, The Naughton Gallery at Queen's",Lanyon Building,University Road,,,Belfast,,BT7 1NN,Northern Ireland,www.naughtongallery.org,University,Museum,Independent
Edinburgh College of Art,Lauriston Place,,,,Edinburgh,,EH3 9DF,Scotland,http://www.eca.ac.uk,University,Museum,Independent
Museums Sheffield,Leader House,Surrey Street,,,Sheffield,Yorkshire,S1 2LH,England,http://www.museums-sheffield.org.uk,Charity & Trusts,Museum,Independent
Blists Hill Victorian Town,Legges Way,Madeley,,,Telford,Shropshire,TF7 5DU,England,www.ironbridge.org.uk,Charity & Trusts,Museum,Independent
Beccles & District Museum,Leman House,Ballygate,,,Beccles,Suffolk,NR34 9ND,England,,Charity & Trusts,Museum,Independent
Scott Polar Research Institute Museum,Lensfield Road,,,,Cambridge,Cambridgeshire,CB2 1ER,England,,Charity & Trusts,Museum,Independent
The History Shop,Library Street,,,,Wigan,Lancashire,WN1 1NU,England,,Charity & Trusts,Museum,Independent
Callington Heritage Centre,Liskeard Road,,,,Callington,Cornwall,PL17 7HA,England,,Charity & Trusts,Museum,Independent
Egham Museum,Literary Institute,High Street,,,Egham,Surrey,TW20 9EW,England,,Charity & Trusts,Museum,Independent
Elizabeth Hoare Collection,Liverpool Cathedral,St James' Mount,,,Liverpool,Merseyside,L1 7AZ,England,,Charity & Trusts,Museum,Independent
Liverpool Cathedral Elizabeth Hoare Collection,Liverpool Cathedral,St James Road,,,Liverpool,Merseyside,L1 7AZ,England,,Charity & Trusts,Museum,Independent
